 X  Y Z          g^2        k          sqrt_kgg    coef       t           zx          zy
 0  0 2.00000000 9.00000000 0.96444444 2.94618397 -0.30513155 3.95936463  2.41625415  2.41625415
 1  0 3.31278217 5.61684029 0.96712144 2.33070090 -0.37934155 5.71818502  2.70362884  4.33829033
 2  0 3.79977417 5.07127179 0.96788757 2.21549564 -0.39743396 6.36015763  2.67482583  5.05548529
 3  0 3.95343387 5.00555112 0.96799113 2.20121082 -0.39979830 6.59127223  3.19633617  5.27035885
 4  0 3.99218750 5.00024414 0.96799961 2.20005327 -0.39999112 6.65374428  4.04158498  5.32287729
 5  0 3.99921787 5.00000435 0.96799999 2.20000095 -0.39999984 6.66536487  5.00556074  5.33228979
 6  0 3.99996948 5.00000001 0.96800000 2.20000000 -0.40000000 6.66661581  6.00032552  5.33329264
 7  0 3.99999988 5.00000000 0.96800000 2.20000000 -0.40000000 6.66666647  7.00000254  5.33333317
 8  0 4.00000000 5.00000000 0.96800000 2.20000000 -0.40000000 6.66666667  8.00000000  5.33333333
 9  0 3.99999988 5.00000000 0.96800000 2.20000000 -0.40000000 6.66666647  8.99999746  5.33333317
10  0 3.99996948 5.00000001 0.96800000 2.20000000 -0.40000000 6.66661581  9.99967448  5.33329264
11  0 3.99921787 5.00000435 0.96799999 2.20000095 -0.39999984 6.66536487 10.99443926  5.33228979
12  0 3.99218750 5.00024414 0.96799961 2.20005327 -0.39999112 6.65374428 11.95841502  5.32287729
13  0 3.95343387 5.00555112 0.96799113 2.20121082 -0.39979830 6.59127223 12.80366383  5.27035885
14  0 3.79977417 5.07127179 0.96788757 2.21549564 -0.39743396 6.36015763 13.32517417  5.05548529
15  0 3.31278217 5.61684029 0.96712144 2.33070090 -0.37934155 5.71818502 13.29637116  4.33829033
 0  1 3.31278217 5.61684029 0.96712144 2.33070090 -0.37934155 5.71818502  4.33829033  2.70362884
 1  1 4.62556434 2.23368058 0.97790766 1.47794904 -0.57212703 5.99067790  3.69187447  3.69187447
 2  1 5.11255634 1.68811208 0.98369511 1.28863789 -0.64488484 6.05118723  3.04179339  4.06484929
 3  1 5.26621604 1.62239141 0.98465496 1.26392078 -0.65577319 6.15375208  3.30066562  4.16942164
 4  1 5.30496967 1.61708443 0.98473588 1.26190374 -0.65667798 6.19248980  4.06353862  4.19377357
 5  1 5.31200004 1.61684464 0.98473954 1.26181253 -0.65671896 6.20039978  5.00849275  4.19805267
 6  1 5.31275165 1.61684031 0.98473961 1.26181088 -0.65671970 6.20127173  6.00049713  4.19850602
