 X  Y Z          g^2        k          sqrt_kgg    coef       t           zx          zy
 0  0 2.00000000 9.00000000 0.11111111 1.00000000 -0.00000000 2.00000000  0.00000000  0.00000000
 1  0 3.31278217 5.61684029 0.17803604 1.00000000 0.00000000 3.31278217  1.00000000  0.00000000
 2  0 3.79977417 5.07127179 0.19718919 1.00000000 0.00000000 3.79977417  2.00000000  0.00000000
 3  0 3.95343387 5.00555112 0.19977820 1.00000000 0.00000000 3.95343387  3.00000000 -0.00000000
 4  0 3.99218750 5.00024414 0.19999023 1.00000000 0.00000000 3.99218750  4.00000000  0.00000000
 5  0 3.99921787 5.00000435 0.19999983 1.00000000 0.00000000 3.99921787  5.00000000  0.00000000
 6  0 3.99996948 5.00000001 0.20000000 1.00000000 0.00000000 3.99996948  6.00000000 -0.00000000
 7  0 3.99999988 5.00000000 0.20000000 1.00000000 0.00000000 3.99999988  7.00000000  0.00000000
 8  0 4.00000000 5.00000000 0.20000000 1.00000000 0.00000000 4.00000000  8.00000000 -0.00000000
 9  0 3.99999988 5.00000000 0.20000000 1.00000000 0.00000000 3.99999988  9.00000000  0.00000000
10  0 3.99996948 5.00000001 0.20000000 1.00000000 0.00000000 3.99996948 10.00000000 -0.00000000
11  0 3.99921787 5.00000435 0.19999983 1.00000000 0.00000000 3.99921787 11.00000000  0.00000000
12  0 3.99218750 5.00024414 0.19999023 1.00000000 0.00000000 3.99218750 12.00000000  0.00000000
13  0 3.95343387 5.00555112 0.19977820 1.00000000 0.00000000 3.95343387 13.00000000 -0.00000000
14  0 3.79977417 5.07127179 0.19718919 1.00000000 0.00000000 3.79977417 14.00000000  0.00000000
15  0 3.31278217 5.61684029 0.17803604 1.00000000 0.00000000 3.31278217 15.00000000  0.00000000
 0  1 3.31278217 5.61684029 0.17803604 1.00000000 0.00000000 3.31278217  0.00000000  1.00000000
 1  1 4.62556434 2.23368058 0.44769158 1.00000000 0.00000000 4.62556434  1.00000000  1.00000000
 2  1 5.11255634 1.68811208 0.59237773 1.00000000 0.00000000 5.11255634  2.00000000  1.00000000
